company_a_name,company_a_address,company_a_state,company_a_activity,company_b_name,company_b_address,company_b_state,company_b_activity,same_entity
VLARP LOCAL SEARCH,"NEAR NAYAKI HIGH SCHOOLH.NO:6-264/B/1/B-10, HAL RAGHAVENDAR COL  ",Telangana,Real estate renting and business activities,VLARP LOCAL SEARCH PRIVATE LIMITED,"NEAR NAYAKI HIGH SCHOOLH.NO:6-264/B/1/B-10, HAL RAGHAVENDAR COL  ",Telangana,Real estate renting and business activities,1
S K GLOBUS,"Gala 76/B, Patel Indl. Estate, Navpada RoadOpp. V. D. Indl. Estate, Oshiwara, Jogeshwari West  ",Maharashtra,Real estate renting and business activities,S K GLOBUS PRIVATE LIMITED,"Gala 76/B, Patel Indl. Estate, Navpada RoadOpp. V. D. Indl. Estate, Oshiwara, Jogeshwari West  ",Maharashtra,Real estate renting and business activities,1
BELONG TECHNOLOGIES INDIA,"No 6, Zeeshan Arch10th Main ,Jeevanbhimanagar Main Road  ",Karnataka,Real estate renting and business activities,SMK CONSULTANTS,"6-MADHUMALTI, 9-HIGHWAY SOCIETY,GAWAND PATH, NAUPADA, THANE-WEST  ",Maharashtra,Real estate renting and business activities,0
TANTIVY EDUCATION,"No.23, Kuppiah Street, Srinivas ApartmentsFlat No, B-3, West Mambalam  ",Tamil Nadu,Education,ADVANCED CUREWELL LABORATORY DIAGNOSTICS,"H/O-SUBASH CHANDRA SINHA, KATHAGOLA,MALLAHSAHI, CURE WELL LAB, MANGALABAG,  ",Orissa,Health and social work,0
ENARAI TRADING,3E SHYAM KUNJ12 C LORD SINHA ROAD   ,West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,ENARAI TRADING LIMITED,3E SHYAM KUNJ12 C LORD SINHA ROAD   ,West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
TRIVENI AQUATICS,MIG PLOT NO 4SIKANDAR COLONYDNEAR BLOCK OFFICE  ,Orissa,Agriculture & allied,TRIVENI AQUATICS PVT LTD,MIG PLOT NO 4SIKANDAR COLONYDNEAR BLOCK OFFICE  ,Orissa,Agriculture & allied,1
JAMINI INDUSTRIES,M I D C PLOT NO B 24 & 25G 2 KULGAONBADLAPUR  ,Maharashtra,Manufacturing,FAR HOLDINGS,"201 CTS NO B/713,MOUNT MARY ROAD BANDRA WEST   ",Maharashtra,Financial intermediation,0
I G FOODS BEVERAGE,"PLOT NO - 13, INDUSTRIAL ESTATEVILLAGE + POST : PANDAUL  ",Bihar,Manufacturing,I G FOODS BEVERAGE PRIVATE LIMITED,"PLOT NO - 13, INDUSTRIAL ESTATEVILLAGE + POST : PANDAUL  ",Bihar,Manufacturing,1
VRX HOSPITALITY SERVICES,"F-101, MAURYANSH ELANZA, SHYAMAL CROSS RDNR PAREKH HOSPITAL, SATELLITE  ",Gujarat,Hotels and restaurants,SUBARNA ENGG CO,74A  NALINI SETT  ROAD   ,West Bengal,Manufacturing,0
SAI KRIPA PROJECTS,810 SURYA KIRAN BUILDING19 K G MARG   ,Delhi,Construction,SAI KRIPA PROJECTS PVT. LTD.,810 SURYA KIRAN BUILDING19 K G MARG   ,Delhi,Construction,1
VIJAYSHREE COMMODITIES,"B/601, 6th Floor, Vallabh DarshanTejpal Scheme Road No.2, vile parle  ",Maharashtra,Financial intermediation,VIJAYSHREE COMMODITIES PRIVATE LIMITED,"B/601, 6th Floor, Vallabh DarshanTejpal Scheme Road No.2, vile parle  ",Maharashtra,Financial intermediation,1
AKSHTAM AGRO PRODUCTS,LANDMARK NEAR HOLY CHOWK VILLAGE ALIPUR   ,Delhi,Real estate renting and business activities,AKSHTAM  AGRO  PRODUCTS,LANDMARK NEAR HOLY CHOWK VILLAGE ALIPUR   ,Delhi,Real estate renting and business activities,1
RAJASRI SOFT SOLUTIONS,"PLOT 912, FLAT 401, SRI LAKHMI NILAYAMAYYAPPA SOCIETY, MADHAPUR,  ",Telangana,Real estate renting and business activities,RAJASRI  SOFT  SOLUTIONS,"PLOT 912, FLAT 401, SRI LAKHMI NILAYAMAYYAPPA SOCIETY, MADHAPUR,  ",Telangana,Real estate renting and business activities,1
WORKSTORM INFRA,"No:1/10A, East Coast Road, Kottivakkam,Chennai, - 600041  ",Tamil Nadu,Construction,AJMER TRADING,"OFFICE NO. 108, DHARAM PALACE100/103, N S PATKAR MARG, HUGHES ROAD  ",Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
VEHEMENT ENERGY,"PLOT NO-4698/5831, ADIMATA COLONY   ",Orissa,Manufacturing,VEHEMENT ENERGY PVT. LTD.,"PLOT NO-4698/5831, ADIMATA COLONY   ",Orissa,Manufacturing,1
SMITH STONE WALTERS,"Unit 17, The Capital701,Plot No C-70, G Block, Bandra Kurla Complex  ",Maharashtra,Real estate renting and business activities,SHAILY MEDICAL PLASTICS,"8, J. P. Nagar,Old Padra Road,  ",Gujarat,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
ACTI GRAIN AND FOOD,"C-16,S.P.MEHTA MARKET,JAMNAGAR.   ",Gujarat,Extraterritorial organizations and bodies,ACTI GRAIN AND FOOD LIMITED,"C-16,S.P.MEHTA MARKET,JAMNAGAR.   ",Gujarat,Extraterritorial organizations and bodies,1
VAIDEHI MARKETING,M.G Path   ,Bihar,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,VAIDEHI MARKETING PRIVATE LIMITED,M.G Path   ,Bihar,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
HINA TRANSPORTS,"454 B, NEAR BHAVANI MANDAP,   ",Maharashtra,Transport storage and communications,HINA TRANSPORTS LIMITED,"454 B, NEAR BHAVANI MANDAP,   ",Maharashtra,Transport storage and communications,1
SPICIABLE INFRA AND LABS,"C/O Pushpendra Kumar103 B,V Bhagupur,Etmadpur  ",Uttar Pradesh,Real estate renting and business activities,SPICIABLE INFRA AND LABS LIMITED,"C/O Pushpendra Kumar103 B,V Bhagupur,Etmadpur  ",Uttar Pradesh,Real estate renting and business activities,1
ORGOLIFE SOLUTIONS,"#S9,New Amar Nagar,  ",Punjab,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,ORGOLIFE  SOLUTIONS,"#S9,New Amar Nagar,  ",Punjab,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
SPEEDEX WORLDWIDE EXPRESS,PHILOMENA HOUSE ROOM NO. 4YESHWANT NAGAR VAKOLA SANTANCRUZ E  ,Maharashtra,Transport storage and communications,OBSERVER MEDIA,"Plot No. 24, 3rd FloorHarsh Vihar, Pitampura  ",Delhi,Manufacturing,0
RNSN SERIATE,SHOP NO 519USHA PRIDE 124  ,Chattisgarh,Other community social and personal service activities,RNSN SERIATE PVT. LTD.,SHOP NO 519USHA PRIDE 124  ,Chattisgarh,Other community social and personal service activities,1
ASTAR FREIGHT FORWARDERS,"A-301, Floor-3,A-Wing,Penta Galaxy,Sra Chs,Shaikh Misree Road,Wadala Fire Brigade, Antop Hill  ",Maharashtra,Real estate renting and business activities,SANSHIV TRAVELS,SHOP NO 7 HARSHDEEP TOWERINDIRA COMPLEX NAVLAKHA  ,Madhya Pradesh,Transport storage and communications,0
JSKN ABODES,"3-1057/B, NAGIREDDY NAGAR,HUKKUMPETA  ",Andhra Pradesh,Construction,JSKN ABODES PVT. LTD.,"3-1057/B, NAGIREDDY NAGAR,HUKKUMPETA  ",Andhra Pradesh,Construction,1
GUARDIAN LOCKS,6/77 SHIVANAND CO OP HSG SOCPLAY GORUND CROSSVILE PARLE EAST  ,Maharashtra,Manufacturing,BELGRAVIA EXPORTS,"A-1 MONALISHA APARTMENT, NR.N.I.D.PALDI  ",Gujarat,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
MAHANADI COMMERCIAL AND INVESTMENT,AT/PO:KUCHINDADT:SAMBALPUR         .DT:SAMBALPUR  ,Orissa,Financial intermediation,URVI HOLDINGS,3-3A CHURCHGATE HOUSE32/34 VEERNARIMAN RD FORT   ,Maharashtra,Financial intermediation,0
GLOBRIN INDIA,"TF-1234-35, 12TH FLOOR, JMD MEGAPOLIS,SOHNA ROAD  ",Haryana,Real estate renting and business activities,IRONMEN ENGINEERS,"SCO-19, 6th FLOORFEROZE GANDHI MARKET  ",Punjab,Manufacturing,0
SKJ BUILDERS AND PROMOTERS,"SCO 7, SEC 21, DERA JAGADHRIDHANONI ROAD  ",Punjab,Construction,KRIMUR EXIM OPC,"Rapaka village, Raghudevapuram post,Seethanagaram mandal,  ",Andhra Pradesh,Real estate renting and business activities,0
CIRIMALLELA PRODUCTIONS,"Jubilee Hills Road No.71, Dwaraka SquareOpp:Bharati Vidya Bhavan School,  ",Telangana,Other community social and personal service activities,VASK INDIA NIDHI,"SHOP NO 5, UGF,RADHIKA COMPLEX, MEDICAL ROAD,  ",Uttar Pradesh,Financial intermediation,0
ONLINE ANDAMAN TRAVEL,PHOENIX BAYSOUTH ANDAMAN  ,Andaman and Nicobar Islands,Transport storage and communications,ONLINE  ANDAMAN  TRAVEL,PHOENIX BAYSOUTH ANDAMAN  ,Andaman and Nicobar Islands,Transport storage and communications,1
ELANCER REALTY,"44, FLOOR -2, PLOT -134/150, SHRINATHJI BUILDING,KIKA STREET, GIRGAON,  ",Maharashtra,Construction,DINA HITEX NON WOVEN DISPOSABLES,"B-66, BHAI RAV NAGAR,HATWARA ROAD, SODALA  ",Rajasthan,Manufacturing,0
METAL PRECISION SERVICES INDIA,"1ST FLOOR, NEW NO.21(OLD NO.16)16TH AVENUE, ASHOK NAGAR  ",Tamil Nadu,Manufacturing,METAL PRECISION SERVICES INDIA LIMITED,"1ST FLOOR, NEW NO.21(OLD NO.16)16TH AVENUE, ASHOK NAGAR  ",Tamil Nadu,Manufacturing,1
LOKPRIYA SAVINGS FUND,"SANGAM BUILDING,SHIVAJI PARK, ROAD NO.5,MUMBAI- 400 016.  ",Maharashtra,Financial intermediation,TRINITY MERCHANDISE,"DOOR NO.28/3671, FIRST FLOOR,CHILAVANOOR ROAD,ERNAKULAM, PIN - 682 020  ",Kerala,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
NATURAL VEDIC HOMES,"ROOM 543 & 544, FIFTH FLOORPODDAR COURT, 18, RABINDRA SARANI  ",West Bengal,Real estate renting and business activities,NATURALVEDICHOMES,"ROOM 543 & 544, FIFTH FLOORPODDAR COURT, 18, RABINDRA SARANI  ",West Bengal,Real estate renting and business activities,1
ERP SOFT SYSTEMS,10A Trankquill NestKamakoti Nagar 3rd Main Road Pallikaranai  ,Tamil Nadu,Financial intermediation,ALOAK LIFE CARE SERVICES,KESHRIPURLOHTA  ,Uttar Pradesh,Health and social work,0
CLAIRVOYANCE CHEMTECH,"36 2 PHASE II, G.I.D.C.ESTATE VATVA,  ",Gujarat,Manufacturing,DAGA RUBBER WORKS,29BANK STREETFORT  ,Maharashtra,Manufacturing,0
K R MOTORS,"2-3-21/4, 1ST FLOOR,RANIGUNJ CIRCLE,SECUNDERABAD.  ",Telangana,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,K R MOTORS PVT. LTD.,"2-3-21/4, 1ST FLOOR,RANIGUNJ CIRCLE,SECUNDERABAD.  ",Telangana,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
AKSHI CHITS,JAGAN NATH VIHAR NEAR S.D.GIRLS HIGH SCHOOLPANIPAT  ,Haryana,Financial intermediation,AKSHI  CHITS,JAGAN NATH VIHAR NEAR S.D.GIRLS HIGH SCHOOLPANIPAT  ,Haryana,Financial intermediation,1
KISHAN BUSINESS CORE,"PLOT NO. 194-195, JAGANNATHPURIKALWAR ROAD, JHOTWARA  ",Rajasthan,Manufacturing,MAHAKAL REALTY AND POWER,"G - 10, MAHAKAL KANAKA:16, LAXMIBAI NAGAR  ",Madhya Pradesh,Construction,0
GREEN SOLUTION FOUNDATION,"4, PANCHAVATI SOCIETY, OPPOSITE INDRA COMPLEXLALBAUG ROAD  ",Gujarat,Real estate renting and business activities,PREMSAI EXPORTS INDIA,PLOT NO - 30/AUNIT-3  ,Orissa,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
PARATHAHOLIC FOODS,"Old No.17/A, New No.29, Kodikatha Kumaran Street,Kalambur Village Post,Polur Taluk,  ",Tamil Nadu,Real estate renting and business activities,ASIM MINERALS,"SHREERAM BHAWANMAIN ROAD,  ",Maharashtra,Mining and quarrying,0
SOPANAM SOLUTIONS,"127-H, POCKET-4MAYUR VIHAR, PH-1  ",Delhi,Real estate renting and business activities,DOLKA REALTORS,C-45SECTOR 62  ,Uttar Pradesh,Construction,0
HAMON DEVELOPERS,"FLAT No. 621-A, 6th FLOOR,DEVIKA TOWERS, 6, NEHRU PLACE  ",Delhi,Real estate renting and business activities,HAMON DEVELOPERS PVT. LTD.,"FLAT No. 621-A, 6th FLOOR,DEVIKA TOWERS, 6, NEHRU PLACE  ",Delhi,Real estate renting and business activities,1
HANICURE HEALTHCARE,"307,D-BLOCK,INLAND EVERGLADES APARTMENT, H A FARMDASARAHALLI MAIN ROAD,HEBBAL KEMPAPURA  ",Karnataka,Manufacturing,HANICURE HEALTHCARE PVT LTD,"307,D-BLOCK,INLAND EVERGLADES APARTMENT, H A FARMDASARAHALLI MAIN ROAD,HEBBAL KEMPAPURA  ",Karnataka,Manufacturing,1
SOFTACKLE TECHNOLOGIES,"C/O SHRI AMOL ANIL KULKARNI S.NO. 50,WAGHJAI NAGAR NR.KATKAR FARM HOUSE  ",Maharashtra,Real estate renting and business activities,GYAANAM PARAM BALAM,"31, West Mukherjee NagarNear Kingsway Camp  ",Delhi,Real estate renting and business activities,0
REX CORPORATE SERVICES,"6/12, Primrose Road Gurappa Avenue   ",Karnataka,Real estate renting and business activities,HRANGBANA RESORT,"D-4/A,CHANDMARI,DIST: AIZAWL  ",Mizoram,Hotels and restaurants,0
HIGH TECH MEDIA,S - 604 - A NEHRU ENCLAVE SCHOOL BLOCKSHAKARPUR  ,Delhi,Real estate renting and business activities,BOTLA CHIT FUNDS,"12/321-1,PRABHANJAN BOOK SHOP UPSTAIRNEAR R.T.C. BUS STAND, KADAPA ROAD  ",Andhra Pradesh,Financial intermediation,0
ROHIL ZINC,"11 SHREE DIAMOND CENTRE,LBSMARG, VIKHROLIMUMBAI-400083.  ",Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,SANKEERTHANA TECHNOLOGY SERVICES,"10, Anna AvenueBhakthavatsalam Nagar  ",Tamil Nadu,Real estate renting and business activities,0
ABS HR SOLUTIONS,"H.NO. E-54-A THIRD FLOORJAWAHAR PARK,DEVLI ROAD  ",Delhi,Real estate renting and business activities,BLISS BEN VOYAGES,F-418/IINPV  ,Haryana,Transport storage and communications,0
SUNAIVAN ENGINEERS,10-1-5/6 NEHRUNAGARMARREDPALLYSECUNDERABAD  ,Telangana,Real estate renting and business activities,A ONE MY CHOICE STORE,"C.S.NO.308/2/2/,PANDURANG SMRUTI,BEHIND ALANKARPURI APPT, SAMRUDDHI NAGAR  ",Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
COPIA FINMAN,"F-6, SANKOOL APPARTMENT, INSIDE FRIEND'S COLONY,OPPOSITE SUPREME TOWER, AMBAWADI  ",Gujarat,Real estate renting and business activities,COPIA  FINMAN,"F-6, SANKOOL APPARTMENT, INSIDE FRIEND'S COLONY,OPPOSITE SUPREME TOWER, AMBAWADI  ",Gujarat,Real estate renting and business activities,1
INTERNATIONAL TRIMMINGS LABELS VIZAG INDIA,"Plot 8B,Staging unit-3[Part-2]Atchuthapuram MandalBrandix India Apparel City SEZ,Pudimadaka Road  ",Andhra Pradesh,Manufacturing,INTERNATIONAL TRIMMINGS LABELS VIZAG INDIA PVT. LTD.,"Plot 8B,Staging unit-3[Part-2]Atchuthapuram MandalBrandix India Apparel City SEZ,Pudimadaka Road  ",Andhra Pradesh,Manufacturing,1
CEMEC ENGINEERS,8-3-228/325RAHMATNAGAR  ,Telangana,Real estate renting and business activities,CEMECENGINEERS,8-3-228/325RAHMATNAGAR  ,Telangana,Real estate renting and business activities,1
SRAJAN TALENT NURTURE,"No. 001, Raj Meridian, G99, 2nd Cross,Koramanagala 5th Block, KHB colony,  ",Karnataka,Education,SRAJAN TALENT NURTURE PVT LTD,"No. 001, Raj Meridian, G99, 2nd Cross,Koramanagala 5th Block, KHB colony,  ",Karnataka,Education,1
MYITRAILS DESTINATION SOLUTIONS,"5/385, PUTHENPURACKALPILAPUZHA  ",Kerala,Transport storage and communications,MYITRAILS DESTINATION SOLUTIONS PRIVATE LIMITED,"5/385, PUTHENPURACKALPILAPUZHA  ",Kerala,Transport storage and communications,1
CORDEX INDIA,"404, RUBY CRESCENT BUSINESS BOULEVARD, CTS NO 62ASHOK CHAKARAVARTHY RD, ASHOK NAGAR, KANDIVALI (E)  ",Maharashtra,Real estate renting and business activities,CORDEXINDIA,"404, RUBY CRESCENT BUSINESS BOULEVARD, CTS NO 62ASHOK CHAKARAVARTHY RD, ASHOK NAGAR, KANDIVALI (E)  ",Maharashtra,Real estate renting and business activities,1
S A S DAILY NEEDS,"ARVIND SINGH1814, LODI ROAD COMPLEX  ",Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,JPM MERCHANDISE AGENCIES,"9/1, R. N. MUKHERJEE ROAD7TH FLOOR, WEST BLOCK  ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
GABENWALK SOFTWARE TECHNOLOGIES,"ACE CITY, C-1709,SECTOR 1,GREATER NOIDA WEST  ",Uttar Pradesh,Real estate renting and business activities,GABENWALK SOFTWARE TECHNOLOGIES PVT. LTD.,"ACE CITY, C-1709,SECTOR 1,GREATER NOIDA WEST  ",Uttar Pradesh,Real estate renting and business activities,1
SAICO AUTOMATION,"205, PANKAJ CHAMBER, 2ND FLOOR, LSC,POCKET - H, SARITA VIHAR,  ",Delhi,Manufacturing,SAICO AUTOMATION PRIVATE LIMITED,"205, PANKAJ CHAMBER, 2ND FLOOR, LSC,POCKET - H, SARITA VIHAR,  ",Delhi,Manufacturing,1
LIBORD CONSTRUCTION,"104 M K BHAWAN,300 S B S ROAD,SBS RDFORT MARKET  ",Maharashtra,Real estate renting and business activities,LIBORDCONSTRUCTION,"104 M K BHAWAN,300 S B S ROAD,SBS RDFORT MARKET  ",Maharashtra,Real estate renting and business activities,1
WESTERN AGRI SEEDS,"Office No.16, Third Floor , Agrawal Mall,ShriJayAmbe Association,OppSola Bhagwat Vidhyapith  ",Gujarat,Agriculture & allied,WESTERN AGRI SEEDS PRIVATE LIMITED,"Office No.16, Third Floor , Agrawal Mall,ShriJayAmbe Association,OppSola Bhagwat Vidhyapith  ",Gujarat,Agriculture & allied,1
SCIENCE MORPH HEALTH,"FLAT NO. 605, TRANQUIL TOWERS, WHITE FIELDS,HI-TECH CITY, KONDAPUR  ",Telangana,Health and social work,SCIENCE MORPH HEALTH PVT. LTD.,"FLAT NO. 605, TRANQUIL TOWERS, WHITE FIELDS,HI-TECH CITY, KONDAPUR  ",Telangana,Health and social work,1
PGB RETAIL,"69/D, HALISAHAR, BAG STATION ROADPO - KANCHRAPARA  ",West Bengal,Real estate renting and business activities,PGBRETAIL,"69/D, HALISAHAR, BAG STATION ROADPO - KANCHRAPARA  ",West Bengal,Real estate renting and business activities,1
SOUDAMINI HOLDINGS,76B AJC BOSE RDTALTALA   ,West Bengal,Financial intermediation,SOUDAMINI HOLDINGS LIMITED,76B AJC BOSE RDTALTALA   ,West Bengal,Financial intermediation,1
VELMURUGAN PETRO PRODUCTS,"PLOT NO.15, II FLOORNAWAB HABIBULLAH NAGAR, MUDICHUR  ",Tamil Nadu,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,VELMURUGAN  PETRO  PRODUCTS,"PLOT NO.15, II FLOORNAWAB HABIBULLAH NAGAR, MUDICHUR  ",Tamil Nadu,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
SIERRA ENGINEERING CONSTRUCTION INDIA,"H.No.7-1-28/1/A/2, 1st FloorPark Avenue Colony, Ameerpet  ",Telangana,Construction,OPTIMA COMPUTER,"8-2-1/B/1, SVR, TOWERS,SRINIGAR COLONY ROAD,PANJAGUTTA,  ",Telangana,Real estate renting and business activities,0
HARSHKAR INVESTMENTS,"EXCELL ESTATE, S.V. ROAD,GOREGAON (WEST),  ",Maharashtra,Extraterritorial organizations and bodies,HARSHKAR INVESTMENTS PVT. LTD.,"EXCELL ESTATE, S.V. ROAD,GOREGAON (WEST),  ",Maharashtra,Extraterritorial organizations and bodies,1
MUKTIR FASHION INDIA,"5-D,GROUND FLOORSHAHPUR JAT  ",Delhi,Manufacturing,SHIVA PARVATI GANGA MATRI CONSULTANYSERVICES OPC,"1-10-34/12/2/A, ALLAM THOTA BAVIBEGUMPET  ",Telangana,Real estate renting and business activities,0
INTEGRATED BRAND EXPERIENCE,"4142,Maple Block -4,Sobha Forest View,VajarahalliMain Road, off Kanakapura Road, BSK 6th Stage  ",Karnataka,Real estate renting and business activities,AMARAVATI PICTURES,D.No: 47/15/1A   ,Andhra Pradesh,Real estate renting and business activities,0
COLMAN LABORATORIES,SMT. GAYATRI DEVIL - 14  ,Delhi,Manufacturing,COLMANLABORATORIES,SMT. GAYATRI DEVIL - 14  ,Delhi,Manufacturing,1
SHRI BAJRANGBALI COAL AND DEVELOPERS,"FLAT NO. 304, 3RD FLOORAMBA HOMES, WARD NO. 34, BHAGAT SINGH WARD  ",Chattisgarh,Agriculture & allied,RUBY PLYWOOD INDUSTRIES,"8, CAMAC STREET,6TH FLOOR, ROOM NO.12  ",West Bengal,Manufacturing,0
AJMERA CONSULTANCY MARKETING,"111/401, SHIPRA PATHMANSAROVER  ",Rajasthan,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,AJMERACONSULTANCYMARKETING,"111/401, SHIPRA PATHMANSAROVER  ",Rajasthan,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
MANDAL REALTY INDIA,"9/5, MOORE AVENUE, REGENT PARK   ",West Bengal,Construction,MANDAL REALTY INDIA PVT LTD,"9/5, MOORE AVENUE, REGENT PARK   ",West Bengal,Construction,1
RAKSHANA WEB SOLUTIONS OPC,"B-403, Hanging Gardens,Jaisinghpura Road, Bhankrota,  ",Rajasthan,Real estate renting and business activities,RAKSHANA WEB SOLUTIONS OPC PVT. LTD.,"B-403, Hanging Gardens,Jaisinghpura Road, Bhankrota,  ",Rajasthan,Real estate renting and business activities,1
DWARIKA STRUCTURES,"37/38, SHEESH MAHALNEAR LALA KA BAZAR  ",Uttar Pradesh,Construction,DWARIKA STRUCTURES LIMITED,"37/38, SHEESH MAHALNEAR LALA KA BAZAR  ",Uttar Pradesh,Construction,1
AVETA REMEDIES,MATRIX COMPLEX SHOWROOM NO 103CTS NO 15854- B1 & B2 KALDA CORNER  ,Maharashtra,Real estate renting and business activities,AVETA REMEDIES LIMITED,MATRIX COMPLEX SHOWROOM NO 103CTS NO 15854- B1 & B2 KALDA CORNER  ,Maharashtra,Real estate renting and business activities,1
NAVI MUMBAI SMART CITY INFRASTRUCTURELIMITED,"SKIL HOUSE, 209, BANK STREET CROSS LANEFORT  ",Maharashtra,Real estate renting and business activities,EDUCATION FOR ENDURANCE,"511, MAKER BHAVAN NO. III21, NEW MARINE LINES  ",Maharashtra,Education,0
HMP MARKETING COMPANY,"11 FIRST FLOOR2820, LINK TOWERLINK ROAD LUDHIANA.  ",Punjab,Financial intermediation,HMP MARKETING COMPANY PVT LTD,"11 FIRST FLOOR2820, LINK TOWERLINK ROAD LUDHIANA.  ",Punjab,Financial intermediation,1
TECHNO UDYOG INSULATION,35/B MOTILAL NEHRU ROAD   ,West Bengal,Manufacturing,KORATLA HARITHA HIRE PURCHASE ANDFINANCIERS,"4-53, AILAPUR, MANDAL-KORATLA,DIST. KARIMNAGAR.   ",Telangana,Financial intermediation,0
HINDOL INVESTMENTS COMPANY A CO,"1A, JIWAN, L. D . RUPAREL MARGMALBARHILL  ",Maharashtra,Financial intermediation,HEMJAS VIDYUT,"Flat No. 64, Block -B-3, Sector-6,Landmark behind Ambedkar Hospital,  ",Delhi,Manufacturing,0
SARAVANA ENTERPRISES,"64 RAJU NAIDU STREETTATABAD, COIMBATORE-641012   ",Tamil Nadu,Agriculture & allied,SARAVANA  ENTERPRISES,"64 RAJU NAIDU STREETTATABAD, COIMBATORE-641012   ",Tamil Nadu,Agriculture & allied,1
IASOSOL SERVICES,"203/A, Bageshree, Near Casela Tower,Opp. GulmoharBunglows, Near Ramdevnagar Chokdi, Satellite  ",Gujarat,Health and social work,HYBRID TELECOM,37/2/7 SHASTRI NAGARIRLA ROADVILE PARLE WEST  ,Maharashtra,Manufacturing,0
LOTUS STOCK BROKING SERVICES,"676/69, A-1 1STFLOOR,DHANLAXMI MARKET, CROSS LANEREVDI BAZAR, AHMEDABAD  ",Gujarat,Financial intermediation,LOTUS STOCK BROKING SERVICES PVT. LTD.,"676/69, A-1 1STFLOOR,DHANLAXMI MARKET, CROSS LANEREVDI BAZAR, AHMEDABAD  ",Gujarat,Financial intermediation,1
JAY R AQUA FOODS INDIA,"SHED NO. 3, SIDCO INDUSTRIAL EESTATE,ARIYAMANGALAM  ",Tamil Nadu,Manufacturing,DIGIT I MARKETING COMMERCE,"DOOR NO.4-254 ar, ARIYADKA GRAMA PANCHAYAT   ",Karnataka,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
BAALYAM SCHOOLS,"SAI GANGA RESIDENCY FLAT NO 101,SPRING FIELD COLONY, JEEDIMETLA VILLAGE KOMPALLY  ",Telangana,Real estate renting and business activities,SEBASCO,"I/309-A, BUND ROAD,ERAVU P.O., THRISSUR-680 320.   ",Kerala,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
BANGALORE INFOTECH SYSTEMS,"212,11YH MAIN,LAKKASANDRA EXTNWILSON GARDENBANGALORE-30  ",Karnataka,Real estate renting and business activities,QUBIC INFO SPACE,"SHOP NO. 6, A-32/33, RAJU PARKDEVLI ROAD, KHANPUR  ",Delhi,Real estate renting and business activities,0
TECHNOCRAFT TABLA FORMWORK SYSTEMS,"Plot No. 47, OPUS CENTRE, Second Floor, Central RdMIDC, Opp. Tunga Paradise Hotel, Andheri East  ",Maharashtra,Manufacturing,D R R ENTERTAINMENT,"MOUZA AND VILLAGE - BISHNUPURP.O. RAJARHAT - BISHNUPUR, P.S. - RAJARHAT  ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
TAMILNADU CABLES CONDUCTORS P,"F-46, SIDCO INDUSTRIAL ESTATE,AMBUTTUR, MADRAS-98.   ",Tamil Nadu,Manufacturing,ADGEN TECHNOLOGIES,"1108, Lower Ground Floor (Basement)Sector 47, Sohna Road  ",Haryana,Education,0
PHARMEDIQA HEALTHCARE,"H NO 362,BLOCK AW, SANJAY GNADHIR TRANSPORT NAGAR  ",Delhi,Manufacturing,CLINICA PHARMA RESEARCH INDIA,"NO. 82, 3RD FLOOR, ST BED,4TH BLOCK, KORAMANGALA,  ",Karnataka,Real estate renting and business activities,0
PRIME SOLWOOD INDIA,"H.No-45,F/F Left Side,Zalidar Enclave,Block K-1Extn.Mohan Garden, Uttam Nagar Behind Kamal Model  ",Delhi,Manufacturing,APEX MERCANTILE BUSINESS,UG-A1SOMDUTT PLAZAKANPUR  ,Uttar Pradesh,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
